200 80
0.16720745 2.86581413 1.04367406
0.16720745 2.96463531 1.08791342
0.16720745 3.06345648 1.11314035
0.16720745 3.16227766 1.14533245
0.16720745 3.26109884 1.17257563
0.16720745 3.35992001 1.19785952
0.16720745 3.45874119 1.21643154
0.16720745 3.55756237 1.22273878
0.16720745 3.65638354 1.21174372
0.16720745 3.75520472 1.18383699
0.16720745 3.85402590 1.14552358
0.16720745 3.95284708 1.10569565
0.16720745 4.05166825 1.07117701
0.16720745 4.15048943 1.04493780
0.16720745 4.24931061 1.02686103
0.16720745 4.34813178 1.01531922
0.16720745 4.44695296 1.00838427
0.16720745 4.54577414 1.00442216
0.16720745 4.64459531 1.00225459
0.16720745 4.74341649 1.00111364
0.16720745 4.84223767 1.00053385
0.16720745 4.94105884 1.00024871
0.16720745 5.03988002 1.00011273
0.16720745 5.13870120 1.00004977
0.16720745 5.23752237 1.00002142
0.16720745 5.33634355 1.00000899
0.16720745 5.43516473 1.00000369
0.16720745 5.53398591 1.00000148
0.16720745 5.63280708 1.00000058
0.16720745 5.73162826 1.00000022
0.16720745 5.83044944 1.00000008
0.16720745 5.92927061 1.00000003
0.16720745 6.02809179 1.00000001
0.16720745 6.12691297 1.00000000
0.16720745 6.22573414 1.00000000
0.16720745 6.32455532 1.00000000
0.16720745 6.42337650 1.00000000
0.16720745 6.52219767 1.00000000
0.16720745 6.62101885 1.00000000
0.16720745 6.71984003 1.00000000
0.16720745 6.81866120 1.00000000
0.16720745 6.91748238 1.00000000
0.16720745 7.01630356 1.00000000
0.16720745 7.11512474 1.00000000
0.16720745 7.21394591 1.00000000
0.16720745 7.31276709 1.00000000
0.16720745 7.41158827 1.00000000
0.16720745 7.51040944 1.00000000
0.16720745 7.60923062 1.00000000
0.16720745 7.70805180 1.00000000
0.16720745 7.80687297 1.00000000
0.20900931 0.00000000 1.50016794
0.20900931 0.09882118 1.50016320
0.20900931 0.19764235 1.50015846
0.20900931 0.29646353 1.50014506
